     <fileName>halvani-2014.pdf</fileName>    <title>Vebav A Simple Scalable And Fast Authorship Verification Scheme</title> 846 </counter> 
     <fileName>ponce-de-leon-2006.pdf</fileName>    <title>Classifier Ensembles for Genre Recognition</title> 26 </counter> 
     <fileName>luquini-2011.pdf</fileName>    <title>No proper data found.</title> 24 </counter> 
     <fileName>wibowo-2013.pdf</fileName>    <title>Comparison Between Fingerprint And Winnowing Algorithm To Detect Plagiarism Fraud On Bahasa Indonesia Documents</title> 24 </counter> 
     <fileName>nebot-2010.pdf</fileName>    <title>Adrián Cabedo Nebot</title> 22 </counter> 
     <fileName>raghavan-2010.pdf</fileName>    <title>Proceedings Of The Th Annual Meeting Of The Association For Computational Linguistics</title> 20 </counter> 
     <fileName>gomez-csda-2011.pdf</fileName>    <title>PCA Document Reconstruction for Email Classification</title> 20 </counter> 
     <fileName>qian-liu-2013.pdf</fileName>    <title>Identifying Multiple Userids of the Same Author</title> 19 </counter> 
     <fileName>forsyth-2002.pdf</fileName>    <title>Wisc</title> 19 </counter> 
     <fileName>bar-2012.pdf</fileName>    <title>Ukp Computing Semantic Textual Similarity By Combining Multiple Content Similarity Measures</title> 18 </counter> 
     <fileName>iqbal-2013.pdf</fileName>    <title>A unified data mining solution for authorship analysis in anonymous textual communications</title> 18 </counter> 
     <fileName>chaski-2001.pdf</fileName>    <title>Empirical Evaluations Of Languagebased Author Identification Techniques</title> 17 </counter> 
     <fileName>keith+lemire-2005.pdf</fileName>    <title>Analyzing Large Collections of Electronic Text Using OLAP</title> 17 </counter> 
     <fileName>koppel-otc-2003.pdf</fileName>    <title>Chat A System For Stylistic Classification Of Hebrewaramaic Texts</title> 17 </counter> 
     <fileName>coulthard-2004.pdf</fileName>    <title>Amhcoulthard</title> 15 </counter> 
     <fileName>wong.pdf</fileName>    <title>No proper data found.</title> 15 </counter> 
     <fileName>zu-eissen-lwa-2006.pdf</fileName>    <title>Lwa Proceedings</title> 15 </counter> 
     <fileName>matsuura-2000.pdf</fileName>    <title>Extraction Of Authors Characteristics From Japanese Modern Sentences</title> 13 </counter> 
     <fileName>abbasi-tkde-2008.pdf</fileName>    <title>Affect Analysis of Web Forums and Blogs Using Correlation Ensembles</title> 12 </counter> 
     <fileName>vartapetiance-2014.pdf</fileName>    <title>A Trinity Of Trialssurreys Attempts Atauthor Verificationnotebook For Pan At Clef anna Vartapetiancelee Gillamuniversity Of Surreyavartapetiancelgillam surrey acukabstractencouraged By</title> 12 </counter> 
     <fileName>hangarge-2013.pdf</fileName>    <title>Statistical Texture Features based Handwritten and Printed Text Classification in South Indian Documents</title> 11 </counter> 
     <fileName>kacem-echi-2014.pdf</fileName>    <title>Electronic Letters On Computer Vision And Image Analysis How To Separate Between Machineprintedhandwritten And</title> 11 </counter> 
     <fileName>potthast-2011.pdf</fileName>    <title>Overview of the 3rd International Competition on Plagiarism Detection</title> 11 </counter> 
     <fileName>bass-2011.pdf</fileName>    <title>Musician Identification with Tempo Performance Data</title> 11 </counter> 
     <fileName>monaco-2013.pdf</fileName>    <title>Ieee th International Conference On Biometrics Sep</title> 11 </counter> 
     <fileName>dh2013-conference-abstracts-print.pdf</fileName>    <title>Allc The European Association For Digital Humanities Allc Association For Computers And The Humanities ach</title> 10 </counter> 
     <fileName>escalante-clef-2011.pdf</fileName>    <title>EPSMS and the Document Occurrence Representation for Authorship Identification</title> 10 </counter> 
     <fileName>kaban-2008.pdf</fileName>    <title>Genre and Author Detection in Turkish Texts using Artificial Immune Recognition Systems</title> 10 </counter> 
     <fileName>radosevic-genre-document-classification.pdf</fileName>    <title>Genre Document Classification Using Flexible Length Phrases</title> 9 </counter> 
     <fileName>gayo-disertacion.pdf</fileName>    <title>Universidad De Oviedo</title> 9 </counter> 
     <fileName>wong-2014.pdf</fileName>    <title>Research Isentenizer Multilingual Sentence Boundary Detection Model</title> 9 </counter> 
     <fileName>karpov-2013.pdf</fileName>    <title>Large Vocabulary Russian Speech Recognition Using Syntacticostatistical Language Modeling</title> 9 </counter> 
     <fileName>boussellaa-2009.pdf</fileName>    <title>Enhanced Text Extraction from Arabic Degraded Document Images using EM Algorithm</title> 9 </counter> 
     <fileName>santini-thesis.pdf</fileName>    <title>Automatic Identification of Genre in Web Pages</title> 9 </counter> 
     <fileName>russir-2013.pdf</fileName>    <title>Special Topics On Information Retrieval</title> 9 </counter> 
     <fileName>petersen-2009.pdf</fileName>    <title>A Machine Learning Approach to Reading Level Assessment</title> 9 </counter> 
     <fileName>rudman-1998.pdf</fileName>    <title>The State Of Authorship Attribution Studies Some Problems And Solutions</title> 9 </counter> 
     <fileName>bandara-iconip-2013.pdf</fileName>    <title>Deep Neural Networks for Source Code Author Identification</title> 9 </counter> 
     <fileName>spracklin-lrec-2008.pdf</fileName>    <title>Using the Complexity of the Distribution of Lexical Elements as a Feature in Authorship Attribution</title> 8 </counter> 
     <fileName>bensalem-emnlp-2014.pdf</fileName>    <title>Intrinsic Plagiarism Detection Using Ngram Classes</title> 8 </counter> 
     <fileName>massung-2015.pdf</fileName>    <title>Natural Language Engineering Page Of C Cambridge University Press Dois</title> 8 </counter> 
     <fileName>chong-thesis-2013.pdf</fileName>    <title>A Study on Plagiarism Detection and Plagiarism Direction Identification Using Natural Language Processing Techniques</title> 8 </counter> 
     <fileName>harpalani-2011.pdf</fileName>    <title>Language Of Vandalism Improving Wikipedia Vandalism Detection Via Stylometric Analysis</title> 7 </counter> 
     <fileName>sanchez-perez-thesis.pdf</fileName>    <title>No proper data found.</title> 7 </counter> 
     <fileName>okuno-2014.pdf</fileName>    <title>A Challenge Of Authorship Identification For Tenthousandscale Microblog Users Syunya Okuno</title> 7 </counter> 
     <fileName>vidulin-2006.pdf</fileName>    <title>Comparison of the Performance of Genre Classifiers Trained by Different Machine Learning Algorithms</title> 7 </counter> 
     <fileName>laurian-1986.pdf</fileName>    <title>Stylistics And Computing Machine Translation As A Tool For A New Approach To Stylistics</title> 6 </counter> 
     <fileName>pande-2011.pdf</fileName>    <title>Analysis of the Role of Entropies and Assignment of Ranks to the Features in Genre Discrimination</title> 6 </counter> 
     <fileName>clark-and-hannon-2007.pdf</fileName>    <title>A Gelbukh And Af Kuri Morales Eds Micai Lnai Pp Springerverlag Berlin Heidelberg</title> 6 </counter> 
     <fileName>amancio-2015.pdf</fileName>    <title>Ar X Iv v Cs c L f Eb Authorship Recognition Via Fluctuation Analysis Of Network Topology And Intermittency Diego Ramancio Of Computer Science Institute Of Math</title> 6 </counter> 
     <fileName>abdi-2015.pdf</fileName>    <title>Pdlk Plagiarism Detection Using Linguistic Knowledge</title> 6 </counter> 
     <fileName>ramirez-2007.pdf</fileName>    <title>Ieee Transactions On Circuits And Systems For Video Technology Vol No March Performancebased Interpreter Identification In</title> 6 </counter> 
     <fileName>engen-2011.pdf</fileName>    <title>Exploring Discrepancies in Findings Obtained with the KDD Cup 99 Data Set</title> 6 </counter> 
     <fileName>passonneau-2014.pdf</fileName>    <title>Biber Redux Reconsidering Dimensions Of Variation In American English Rebecca J Passonneau</title> 6 </counter> 
     <fileName>santini-et-al-2010.pdf</fileName>    <title>Riding the Rough Waves of Genre on the Web Concepts and Research Questions</title> 6 </counter> 
     <fileName>koppel-jasist-2008.pdf</fileName>    <title>Computational Methods in Authorship Attribution</title> 6 </counter> 
     <fileName>anonymouth.pdf</fileName>    <title>Use Fewer Instances Of The Letter i Toward Writing Style Anonymization</title> 6 </counter> 
     <fileName>strommer-2011.pdf</fileName>    <title>Using Rhetorical Figures and Shallow Attributes as a Metric of Intent in Text</title> 6 </counter> 
     <fileName>lex-2010.pdf</fileName>    <title>A Comparison of Stylometric and Lexical Features for Web Genre Classification and Emotion Classification in Blogs</title> 6 </counter> 
     <fileName>hirst-and-feiguina-2007.pdf</fileName>    <title>Bigrams of Syntactic Labels for Authorship Discrimination of Short Texts</title> 6 </counter> 
     <fileName>savoy-cms-2012.pdf</fileName>    <title>Simple and Efficient Classification Scheme Based on Specific Vocabulary</title> 6 </counter> 
     <fileName>abesser-2012.pdf</fileName>    <title>Classification Of Music Genres Based On Repetitive Basslines</title> 5 </counter> 
     <fileName>jiang-2013.pdf</fileName>    <title>Research Science China</title> 5 </counter> 
     <fileName>thompson-thesis-2011.pdf</fileName>    <title>Metareasoning About Propagators for Constraint Satisfaction</title> 5 </counter> 
     <fileName>bo-pang-thesis-2006.pdf</fileName>    <title>Automatic Analysis of Document Sentiment</title> 5 </counter> 
     <fileName>arlitt-thesis-2015.pdf</fileName>    <title>Understanding Designer Mental Models To Support Computer Directed Analogical Design</title> 5 </counter> 
     <fileName>santini-2006.pdf</fileName>    <title>Some Issues in Automatic Genre Classification of Web Pages</title> 5 </counter> 
     <fileName>fragkou-2007.pdf</fileName>    <title>Segmentation of Greek Text by Dynamic Programming</title> 5 </counter> 
     <fileName>vaz-2012.pdf</fileName>    <title>Stylometric Relevancefeedback Towards A Hybrid Book Recommendation Algorithm</title> 5 </counter> 
     <fileName>brizan-2015.pdf</fileName>    <title>Utilizing Linguisticallyenhanced Keystroke Dynamics To Predict Typist Cognition And Demographics</title> 5 </counter> 
     <fileName>serra-2012.pdf</fileName>    <title>On Defining Design Patterns to Generalize and Leverage Automated Constraint Solving</title> 5 </counter> 
     <fileName>grieve-evaluation-authorship-attribution.pdf</fileName>    <title>No proper data found.</title> 5 </counter> 
     <fileName>neucom-d-14-00663.pdf</fileName>    <title>Neurocomputing Manuscript Draft</title> 5 </counter> 
     <fileName>stanczyk-2015.pdf</fileName>    <title>Advances In Intelligent Data Processing And Analysis Ranking Of Characteristic Features In Combined Wrapper</title> 5 </counter> 
     <fileName>hacohen-kerner-2010.pdf</fileName>    <title>No proper data found.</title> 5 </counter> 
     <fileName>coyotl-morales-2006.pdf</fileName>    <title>Authorship Attribution using Word Sequences</title> 5 </counter> 
     <fileName>chaurasia-ijcse-2011.pdf</fileName>    <title>Reclaiming Individuality of Mysterious Passage</title> 5 </counter> 
     <fileName>vidulin-2007.pdf</fileName>    <title>Training the Genre Classifier for Automatic Classification of Web Pages</title> 5 </counter> 
     <fileName>hangarge-thesis-2013.pdf</fileName>    <title>Script Identification In Handwritten South Indian Document Images</title> 5 </counter> 
     <fileName>guzella-2009.pdf</fileName>    <title>A Review of Machine Learning Approaches to Spam Filtering</title> 5 </counter> 
     <fileName>chen-francine-2012.pdf</fileName>    <title>Genre Identification for Office Document Search and Browsing</title> 4 </counter> 
     <fileName>zhao-2007.pdf</fileName>    <title>Searching With Style Authorship Attribution In Classic Literature</title> 4 </counter> 
     <fileName>chen-2014.pdf</fileName>    <title>Email Hoax Detection System Using Levenshtein Distance Method</title> 4 </counter> 
     <fileName>voronov-2015.pdf</fileName>    <title>Автоматическая Фильтрация Русскоязычного Научного Контента Методами Машинного Обучения И Тематического Моделирования</title> 4 </counter> 
     <fileName>molina-solana-2008.pdf</fileName>    <title>Learning Violinists Expressive Trends Miguel Molinasolana Miguelmolinaugres</title> 4 </counter> 
     <fileName>gehrke-2008.pdf</fileName>    <title>Authorship Discovery in Blogs Using Bayesian Classification with Corrective Scaling</title> 4 </counter> 
     <fileName>kestemont-2011.pdf</fileName>    <title>Intrinsic Plagiarism Detection Using Character Trigram Distance Scores</title> 4 </counter> 
     <fileName>vidulin-aipr-2007.pdf</fileName>    <title>Evaluation of Different Approaches to Training a Genre Classifier</title> 4 </counter> 
     <fileName>dong-2006.pdf</fileName>    <title>Binary Cybergenre Classification Using Theoretic Feature Measures</title> 4 </counter> 
     <fileName>brocardo-2015.pdf</fileName>    <title>Authorship Verification Of Email And Tweet Messages Applied For Continuous Authentication</title> 4 </counter> 
     <fileName>petrenz-eacl-2012.pdf</fileName>    <title>Proceedings Of The Eacl Student Research Workshop Pages Avignon France April C Association For Computational Linguistics</title> 4 </counter> 
     <fileName>ponce-de-leon-thesis-2011.pdf</fileName>    <title>A Statistical Pattern Recognition Approach to Symbolic Music Classification</title> 4 </counter> 
     <fileName>rudman-2003.pdf</fileName>    <title>On Determining A Valid Text For Nontraditional Authorship Attribution Studies Editing Unediting And</title> 4 </counter> 
     <fileName>layton-2010.pdf</fileName>    <title>Authorship Attribution for Twitter in 140 Characters or Less</title> 4 </counter> 
     <fileName>goodkind-2016.pdf</fileName>    <title>Utilizing Linguistic Context To Improve Individual And Cohort Identification In Typed Text</title> 4 </counter> 
     <fileName>peters-2014.pdf</fileName>    <title>Martine Peters And Mary Frankoff New Literacy Practices And Plagiarism A Study Of Strategies For Digital Scrapbooking Martine Peters Universitedu Quebec En Outaouais Canadamary Franko</title> 4 </counter> 
     <fileName>kermanidis-2011.pdf</fileName>    <title>Journal Of Information Hiding And Multimedia Signal Processing C Issn Ubiquitous International Volume Number July</title> 4 </counter> 
     <fileName>sun-jianwen-2010.pdf</fileName>    <title>Feature Selection for Online Writeprint Identification Using Hybrid Genetic Algorithm</title> 4 </counter> 
     <fileName>hu-2006.pdf</fileName>    <title>Stylistic Analysis on Reviews of Humanities Objects</title> 4 </counter> 
     <fileName>semanticmining-d27.2.pdf</fileName>    <title>Semanticmining</title> 4 </counter> 
     <fileName>oberreuter-2013.pdf</fileName>    <title>Text Mining Applied To Plagiarism Detection The Use Of Words For Detecting Deviations In The Writing Style</title> 4 </counter> 
     <fileName>vamvakas-thesis-2011.pdf</fileName>    <title>Εθνικκακαποδιστριακπανεπιστημιαθηνω Σχολθετικωεπιστημω Τμημπληροφορικηκατηλεπικοινωνιω Προγραμμμεταπτυχιακωσπουδω Διδακτορικδιατριβ Επεξεργασικααναγνωρισχειρογραφωκειμενω Γεωργιοπβαμβακα Αθην Ιο</title> 4 </counter> 
     <fileName>yadav-2011.pdf</fileName>    <title>A Framework For Authorship Identification Of Questioned Documents Forensic And Linguistic Convergence</title> 4 </counter> 
     <fileName>amini-2014.pdf</fileName>    <title>Capturing Scholarxs Knowledge From Heterogeneous Resources For Profiling In Recommender Systems</title> 4 </counter> 
     <fileName>orebaugh-gmu-0883e-10640.pdf</fileName>    <title>Orebaughdisslibraryfinal</title> 4 </counter> 
     <fileName>ilina-2012.pdf</fileName>    <title>Social Event Detection on Twitter</title> 4 </counter> 
     <fileName>lahiri-2010.pdf</fileName>    <title>Measuring The Informality Of Web Documents Shibamouli Lahiri</title> 4 </counter> 
     <fileName>caliskan-islam-usenix-2015.pdf</fileName>    <title>De-anonymizing Programmers via Code Stylometry</title> 4 </counter> 
     <fileName>rudman-2016.pdf</fileName>    <title>Journal Of Early Modern Studies N Pp</title> 4 </counter> 
     <fileName>luyckx-lre-2011.pdf</fileName>    <title>The Effect of Author Set Size and Data Size in Authorship Attribution</title> 4 </counter> 
     <fileName>sun-2012.pdf</fileName>    <title>Applying Stylometric Analysis Techniques to Counter Anonymity in Cyberspace</title> 4 </counter> 
     <fileName>kim-and-ross-hicss-2008.pdf</fileName>    <title>Examining Variations of Prominent Features in Genre Classification</title> 4 </counter> 
     <fileName>puflovic-2015.pdf</fileName>    <title>The Sixth International Conference On Elearning elearning</title> 4 </counter> 
     <fileName>liu-2010.pdf</fileName>    <title>Degraded Character Recognition by Image Quality Evaluation</title> 3 </counter> 
     <fileName>de-assis-2009.pdf</fileName>    <title>World Wide Web Doi s</title> 3 </counter> 
     <fileName>school-2014-draftsite.pdf</fileName>    <title>Российская Академия Наук Уральское Отделение</title> 3 </counter> 
     <fileName>boese-cikm05.pdf</fileName>    <title>Effects of Web Document Evolution on Genre Classification</title> 3 </counter> 
     <fileName>ali-2011.pdf</fileName>    <title>Evaluation of Authorship Attribution Software on a Chat Bot Corpus</title> 3 </counter> 
     <fileName>gipp-2011.pdf</fileName>    <title>Identifying Related Work And Plagiarism By Citation Analysis</title> 3 </counter> 
     <fileName>feng-2012.pdf</fileName>    <title>Characterizing Stylistic Elements in Syntactic Structure</title> 3 </counter> 
     <fileName>alzahrani-2012.pdf</fileName>    <title>Ieee Transactions On Systems Man And Cyberneticspart C Applications And Reviews Vol No March Understanding Plagiarism Linguistic Patterns</title> 3 </counter> 
     <fileName>tambouratzis-2007.pdf</fileName>    <title>Employing Thematic Variables for Enhancing Classification Accuracy Within Author Discrimination Experiments</title> 3 </counter> 
     <fileName>ellen-2012.pdf</fileName>    <title>Lncs Implicit Group Membership Detection In Online Text Analysis And Applications</title> 3 </counter> 
     <fileName>amasyali-2006.pdf</fileName>    <title>Farklı Özellik Vektörleri Ile Türkçe Dokümanların Yazarlarının Belirlenmesi</title> 3 </counter> 
     <fileName>bar-2015.pdf</fileName>    <title>Composing Measures For Computing Text Similarity Technical Report Tudcs January Daniel Bar Sap Sewalldorfgermany Torsten Zesch Language Technology Labuniversity Of Duisburgessen Iryna</title> 3 </counter> 
     <fileName>nazar-sanchez-iafl-2006.pdf</fileName>    <title>Proceedings Of The Second European Iafl Conference On Forensic Linguistics Language And The Law Barcelona An Extremely Simple Authorship Attribution System Rogelio Nazar Rogelionazarupf Edu Marta Snchez Pol Marta Sanchezupf Edu Institut Universitari De Lingstica Aplicada Universitat Pompeu Fabra Pl De La Merc</title> 3 </counter> 
     <fileName>snasel-2009.pdf</fileName>    <title>Web Content Mining Focused on Named Objects</title> 3 </counter> 
     <fileName>nirkhi-2014.pdf</fileName>    <title>Abstractauthorship Attribution Process Helps To Identify The</title> 3 </counter> 
     <fileName>ardi-2014.pdf</fileName>    <title>Webscale Content Reuse Detection Extended Uscis I Technical Report Isitr June</title> 3 </counter> 
     <fileName>brooke-2013.pdf</fileName>    <title>Clustering voices in The Waste Land</title> 3 </counter> 
     <fileName>sureka-2010.pdf</fileName>    <title>Detecting Duplicate Bug Report Using Character Ngrambased Features</title> 3 </counter> 
     <fileName>toselli-tr-2009.pdf</fileName>    <title>Preprocessing and Feature Extraction Techniques for Multimodal Interactive Transcription of Text Images</title> 3 </counter> 
     <fileName>guillen-nieto-2008.pdf</fileName>    <title>Servicio De Publicacionesuniversidad De Murciaall Reservedijesvol ppijes University Of Murciainternational Journalofenglish Studieswww um esijes Exploring Stateoftheart Software</title> 3 </counter> 
     <fileName>duman-2012.pdf</fileName>    <title>Comparing Alternative Classifiers For Database Marketing The Case Of Imbalanced Datasets</title> 3 </counter> 
     <fileName>romero-2013.pdf</fileName>    <title>The Esposalles Database An Ancient Marriage License Corpus For Offline Handwriting Recognition</title> 3 </counter> 
     <fileName>arun-2009.pdf</fileName>    <title>Stopword Graphs and Authorship Attribution in Text Corpora</title> 3 </counter> 
     <fileName>delgado-2011.pdf</fileName>    <title>A State of the Art on Computational Music Performance</title> 3 </counter> 
     <fileName>fineberg-2015.pdf</fileName>    <title>In The Rich History Of Speech And Language Analysis In Schizo Phrenia Researchers Have Described The Errors Structures And</title> 3 </counter> 
     <fileName>kermanidis-2010.pdf</fileName>    <title>Extracting Shallow Paraphrasing Schemata from Modern Greek Text Using Statistical Significance Testing and Supervised Learning</title> 3 </counter> 
     <fileName>rahman-2015.pdf</fileName>    <title>Information Theoretical And Statistical Features For Intrinsic Plagiarism Detection</title> 3 </counter> 
     <fileName>cristani-2012.pdf</fileName>    <title>Conversationallyinspired Stylometric Features For Authorship Attribution In Instant Messaging</title> 3 </counter> 
     <fileName>mazzei2010-candidacyexam.pdf</fileName>    <title>Extraction and Classification of Handwritten Annotations for Pedagogical Use</title> 3 </counter> 
     <fileName>csl15-21.pdf</fileName>    <title>Computer Speech And Language Manuscript Draft</title> 3 </counter> 
     <fileName>araya-2015.pdf</fileName>    <title>Adaptive Filtering Strategy For Numerical Constraint Satisfaction Problems</title> 3 </counter> 
 the <title> and </title> tags is generally more representative for the topic  3 </counter> 
     <fileName>kulikov-2015.pdf</fileName>    <title>Issn Moscow University Computational Mathematics And Cybernetics Vol No Pp Allerton Press Inc</title> 3 </counter> 
     <fileName>babu-2008.pdf</fileName>    <title>Degraded Document Image Enhancement Using Hybrid Thresholding and Mathematical Morphology</title> 2 </counter> 
     <fileName>liu-jingfang-2014.pdf</fileName>    <title>Physical Activity Nutrition And Dyslipidemia In Middleaged Women</title> 2 </counter> 
     <fileName>pronoza-2014.pdf</fileName>    <title>Corpusbased Information Extraction And Opinion Mining For The Restaurant Recommendation System</title> 2 </counter> 
     <fileName>romero-moreo-2012.pdf</fileName>    <title>Using Wikipedia Concepts and Frequency in Language to Extract Key Terms from Support Documents</title> 2 </counter> 
     <fileName>aljumily-2015.pdf</fileName>    <title>Hierarchical And Nonhierarchical Linear And Nonlinear Clustering Methods To Shakespeare Authorship Question</title> 2 </counter> 
     <fileName>goodman-2007.pdf</fileName>    <title>C Proceedings Of Studentfaculty Research Day Csis Pace University May th</title> 2 </counter> 
     <fileName>ricosulayes-thesis-2012.pdf</fileName>    <title>Quantitative Authorship Attribution of Users of Mexican Drug Dealing Related Online Forums</title> 2 </counter> 
     <fileName>todirascu-2012.pdf</fileName>    <title>French And German Corpora For Audiencebased Text Type Classification A Todirascu S Padó J Krisch M Kisselew U Heid</title> 2 </counter> 
     <fileName>zhao-thesis-2007.pdf</fileName>    <title>Effective Authorship Attribution in Large Document Collections</title> 2 </counter> 
     <fileName>knosys-d-15-01485.pdf</fileName>    <title>Knowledgebased Systems Manuscript Draft</title> 2 </counter> 
     <fileName>verma-2014.pdf</fileName>    <title>Jcit</title> 2 </counter> 
     <fileName>author-identification-courts.pdf</fileName>    <title>Amhsolan</title> 2 </counter> 
     <fileName>meuschke-2013.pdf</fileName>    <title>International Journal For Educational Integrity Vol No June Pp Issn The International Journal For Educational Integrity Is Available Online At</title> 2 </counter> 
     <fileName>narayan-2013.pdf</fileName>    <title>Discrimination of Handwritten and Machine Printed Text in Scanned Document Images</title> 2 </counter> 
     <fileName>art%3a10.1186%2fs40064-016-1841-1.pdf</fileName>    <title>Comparing Writing Style Featurebased Classification Methods For Estimating User Reputations In Social Media</title> 2 </counter> 
     <fileName>n8completo.pdf</fileName>    <title>I S S N P Á G I N A</title> 2 </counter> 
 <title></title> Only this title element is indexed  2 </counter> 
     <fileName>patil-2012.pdf</fileName>    <title>Word Level Handwritten and Printed Text Separation Based on Shape Features</title> 2 </counter> 
     <fileName>tao-li+ogihara-2006.pdf</fileName>    <title>Toward Intelligent Music Information Retrieval</title> 2 </counter> 
     <fileName>argamonfunctionaljasist05.pdf</fileName>    <title>Stylistic Text Classification using Functional Lexical Features</title> 2 </counter> 
     <fileName>fox-2012.pdf</fileName>    <title>Statistical Stylometrics And The Marloweshakespeare Authorship Debate</title> 2 </counter> 
     <fileName>m-eder-bootstrapping-delta.pdf</fileName>    <title>Bootstrapping Delta A Safety Net In Openset Authorship Attribution</title> 2 </counter> 
     <fileName>suchomel-2013.pdf</fileName>    <title>Diverse Queries and Feature Type Selection for Plagiarism Discovery</title> 2 </counter> 
     <fileName>chong-2010.pdf</fileName>    <title>Current Plagiarism Detection Tools Are Mostly</title> 2 </counter> 
     <fileName>pande-2013.pdf</fileName>    <title>Mathematical Modelling of the Pattern of Occurrence of Words in Different Corpora of the Hindi Language</title> 2 </counter> 
     <fileName>zwitter-vitez-2011.pdf</fileName>    <title>Obdobjakorvp</title> 2 </counter> 
     <fileName>zheng-2006.pdf</fileName>    <title>Research Are Extracted From Nlline Rnessagcq And Several Guisric Researchess The rigins Of Thih Field Dare Hack R T L hc Major Inducdvc Leming Feehnirlucs Are Used La Build th Ceoluy When En</title> 2 </counter> 
     <fileName>taiye-2015.pdf</fileName>    <title>Proceeding Of The rd International Conference On Artificial Intelligence And Computer Science Aics October Penang Malaysia eisbn</title> 2 </counter> 
     <fileName>eissen-2007.pdf</fileName>    <title>Plagiarism Detection without Reference Collections</title> 2 </counter> 
     <fileName>evaluating-text-visualization-for-authorship-analysis.pdf</fileName>    <title>Authorship Analysis</title> 2 </counter> 
     <fileName>schler-2005.pdf</fileName>    <title>Effects of Age and Gender on Blogging</title> 2 </counter> 
     <fileName>saha-2009.pdf</fileName>    <title>Tensor Framework and Combined Symmetry for Hypertext Mining</title> 2 </counter> 
     <fileName>stajner-2012.pdf</fileName>    <title>Using Comparable Corpora to Track Diachronic and Synchronic Changes in Lexical Density and Lexical Richness</title> 2 </counter> 
     <fileName>cagnina-2015.pdf</fileName>    <title>Proceedings Of The Conference On Empirical Methods In Natural Language Processing</title> 2 </counter> 
     <fileName>06847369.pdf</fileName>    <title>Authorship Attribution Analysis Of Thai Online Messages</title> 2 </counter> 
     <fileName>teng-2004.pdf</fileName>    <title>Email Authorship Mining Based On Svm For Computer Forensic Machine Learning And Cybernetics Proceedings Of International Conference On</title> 2 </counter> 
     <fileName>layton-nle-2013.pdf</fileName>    <title>Automated Unsupervised Authorship Analysis Using Evidence Accumulation Clustering</title> 2 </counter> 
     <fileName>overdorf-2016.pdf</fileName>    <title>Proceedings On Privacy Enhancing Technologies Rebekah Overdorf And Rachel Greenstadt</title> 2 </counter> 
     <fileName>hamid-2011.pdf</fileName>    <title>Word Segmentation Approach of Discrete and Mixed Latin Handwritten Styles</title> 2 </counter> 
     <fileName>neocleous-2010.pdf</fileName>    <title>Expressive Music Performance Modelling</title> 2 </counter> 
     <fileName>poprat-2006.pdf</fileName>    <title>A Language Classifier that Automatically Divides Medical Documents for Experts and Health Care Consumers</title> 2 </counter> 
     <fileName>barron-pan-2008.pdf</fileName>    <title>Towards the Exploitation of Statistical Language Models for Plagiarism Detection with Reference</title> 2 </counter> 
